 -2,75318087564632
98; 3,12455835166632
 0,737574510920063
99; 1,45660200048395
 -6,07216905330967
100; -2,12763993867474
 0,393814417790123
101; 4,34339232006998
 -1,21049328064867
102; -5,47676541282308
 -3,39901399636444
103; -2,99027375847429
 -1,90633271841185
104; 3,91543776804946
 -1,46570662183916
105; -2,36010615764053
 -2,25532892205959
106; -2,91146576168713
 -6,82017829702728
107; -0,0157931453024805
 -4,42787969344424
108; 0,0371964681797429
 4,4987048531764
109; -0,212315088866558
 -1,61500796618276
110; -0,574397515749847
 -2,7627887074924
111; 1,10039423144616
 4,1428543047242
112; -3,33667000298601
 0,158983773686396
113; -2,21625056065101
 -0,175277097380396
114; 1,74092832488508
 1,25658869558091
115; -0,146510955085864
 0,0547999434375723
116; 0,719888384599431
 -0,208901037646454
117; -0,362529827655796
 -1,45252720618409
118; 1,04350387740898
 3,07541135893499
119; 1,8282178055742
 -0,721696779816356
120; 0,466775420364813
 1,04709071660981
121; 0,130460123628069
 1,60682315610932
122; 1,3941944210689
 1,1582210493921
123; 2,21212979728451
 0,589616529126872
124; 0,105713514947524
 0,814435912891821
125; -1,45322154665762
 2,58685130271187
126; -0,928524317234389
 2,32948001790831
127; 0,168914295544602
 2,24615432956815
128; -0,0244110701787523
 -2,419970220531
129; -0,815663822650503
 -0,913001467516245
130; 2,64659779809414
 2,33616064741334
131; -1,2598220904004
 -1,26472361991595
132; -0,365759579179412
 -0,78059863929422
133; 1,76797299220888
 0,979183113712168
134; -0,389816758026801
 0,126932985057951
135; 1,66705885250237
 -0,990335388722854
136; 3,90088043789873
 0,905913900237538
137; -1,67555766152098
 0,390593238963794
138; -1,90540278301217
 -0,99676983058729
139; -1,0858649356262
 -2,33742619333584
140; -0,691515853140853
 2,88779237622153
141; 1,3504758170241
 -2,4251907362248
142; 3,5035085106487
 -1,82354378909261
143; 0,602395120072955
 1,28304181142116
144; 1,37652073784006
 -0,820165818923301
145; -0,055856733875785
 0,606217683056532
146; 4,06557826424112
 -0,35415645763896
147; -4,2750370353104
 0,11639789082573
148; -2,13686741021519
 -0,733024237568012
149; 0,212155621699089
 -1,99198012269348
150; -3,49487669708809
 2,80872310532144
151; 3,94514231191407
 -1,54975605239962
152; -0,615377515236822
 1,8620636639803
153; -0,434015659209852
 -0,132373298977551
154; 1,81007361698627
 -0,54562986743259
155; 2,73447629257363
